TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
105.344000000,0.766699,0.132551,0,2.2547,0,0.0633963,0,0.047296,3.12772,0.122835,0.00417855,2.14396
105.386666667,0.552956,0.100278,0,2.49593,0,0.0112389,0.145557,0.0623244,3.14519,0.14327,0.0254688,2.04744
105.429333333,0.319794,0.0278777,0.0215012,2.46781,0,0.00879868,0.23951,0.141844,3.19354,0.128556,0.147844,1.54999
105.472000000,0.466856,0.031925,0.11666,2.30283,0,0.0063605,0.142239,0.145497,3.19544,0.146485,0.382871,1.16428
105.514666667,0.686442,0.0582483,0.243127,2.5521,0.0737041,0,0.198454,0.105766,3.30243,0.106172,0.35653,1.19938
105.557333333,1.02091,0.161004,0.0640174,2.619,0.0238245,0.00725085,0.113377,0.198353,3.4955,0.131738,0.186328,0.677189
105.600000000,1.43688,0.398835,0.179728,1.99508,0.0594615,0.102394,0.344628,0.242867,3.1643,0.163118,0,0.16227
105.642666667,0.558591,0.322432,0.387529,0.916835,0.261516,0.288661,0.720398,1.00778,2.11315,0.158638,0.573723,0.1458
105.685333333,0.16132,0.43454,0.572943,0.677012,0.290739,0.240446,0.870659,1.05102,1.80941,0.139955,0.902596,0.298031
105.728000000,0,0.392859,0.590143,0.855155,0.269655,0.200428,0.86767,1.11044,1.85771,0.150217,0.920165,0.450724
105.770666667,0.0767766,0.313892,0.634735,1.04005,0.160036,0.289349,0.896544,1.10814,2.18645,0.163996,0.378904,0.891832
105.813333333,0.463406,0.302243,0.483949,1.25457,0.0457594,0.0802616,0.633108,0.778857,2.91314,0.26587,0.0459535,0.532501
105.856000000,0.565384,0.601065,0.274,1.54764,0.142195,0,0.526197,0.54268,3.16833,0.285637,0.209844,0.227543
105.898666667,0.528717,1.41675,0.483406,1.28984,0,0,0.540243,0.380062,2.88829,0.436601,0.360973,0.17822
105.941333333,0.416192,1.90639,0.567891,0.767327,0.00278167,0,0.627248,0.189508,2.73523,0.457712,0.345853,0.12625
105.984000000,0.322549,2.60904,0.522978,0.386717,0.0159546,0,0.543765,0.13852,2.90403,0.292494,0.26027,0.0507217
106.026666667,0.188989,3.0655,0.288571,0.320069,0.0963597,0,0.342773,0.287829,2.8745,0.157649,0.107807,0.0393883
106.069333333,0,3.07468,0.0191563,0.486907,0.389174,0.133893,0.666706,0.178592,2.53262,0.611329,0.0502091,0.478292
106.112000000,0.261525,2.9156,0.000600883,0.451485,0.854601,0.0168699,0.788922,0.164599,1.98636,0.175032,0.000135806,0.560135
106.154666667,0.043617,2.66508,0.00650467,0.488142,1.25701,0.0335823,0.529418,0.302449,1.81572,0.000159896,0.0341375,1.16115
106.197333333,0.0665761,2.27239,0.0111812,0.406307,2.0716,0.0330857,0.447195,0,1.92837,0.000167424,0.0381076,1.3951
106.240000000,0,2.68063,0,0.293657,2.57142,0.0328432,0.486857,0,1.83956,0.00236077,0.0295369,1.30689
106.282666667,0.0241345,2.81294,0.000365586,0.202824,2.56749,0.0227263,0.214677,0,1.8102,0.124845,0.0482405,1.35503
106.325333333,0.0079252,2.6563,0.00266918,0.260356,3.09997,0.0112258,0.326976,0.0114172,1.40632,0.00260919,0.00464839,1.17477
106.368000000,0,2.29666,0.00221245,0.313019,3.70646,0.010963,0.358371,0.00157127,1.55375,0.00116566,0.0312863,1.66087
106.410666667,0,1.46603,0,0.330679,3.9568,0.0277471,0.265005,0,1.9051,0.00109483,0.0633497,2.29928
106.453333333,0,0.179256,0,0.234402,4.0715,0.0377179,0.153244,0,2.18947,0.0252273,0.0957595,2.61741
106.496000000,0,0.0283359,0.130418,0.12778,4.0204,0.256851,0.0467664,0.189026,2.07847,0.00259892,0,2.59041
106.538666667,0.0951335,0.743438,0.461229,0.0123244,2.95727,0.267798,0.109827,0.463926,1.89533,0.183116,0.000473543,2.03145
106.581333333,0.19398,1.44057,0.283395,0.0149687,1.87298,0.418538,0.874888,0.14091,1.53958,0.374377,0.00067398,1.40525
106.624000000,0.119887,1.78496,0.255849,0.02938,1.18949,0.538011,1.23303,0.00284944,1.57761,0.375032,0.000656892,1.09038
106.666666667,0.111192,1.81609,0.150559,0.0105761,1.1954,0.361015,1.19634,0.00588262,1.91336,0.475964,0.000400085,1.51577
106.709333333,0.288625,1.64674,0.0132646,0.0626558,1.69164,0.100165,0.903499,0.0139265,2.39571,0.339387,0,1.93888
106.752000000,0.0132539,1.51922,0.00115859,0.126484,3.00476,0.0291687,0.057188,0.428937,2.4287,0.0949609,0,2.29324
106.794666667,0,1.71271,0.00225922,0.156303,3.58706,0.0151041,0.0825049,0.872664,2.06682,0,0,2.3621
106.837333333,0,2.22545,0.00215365,0.22737,3.26067,0.0173802,0.217663,0.663876,1.83321,0.236753,0,1.63811
106.880000000,0.0047187,2.42481,0.0009179,0.258576,2.83365,0.0290553,0.237635,0.399387,1.83693,0.274365,0.00818273,1.06753
106.922666667,0.0375308,2.5535,0.000793905,0.207635,2.5786,0.0564852,0.172289,0.207593,1.77588,0.0747141,0.0579433,0.777757
106.965333333,0,2.65633,0.00656043,0.193525,2.12489,0.34357,0.440017,0.000910648,1.63791,0.0425536,0,1.01041
107.008000000,0,2.7719,0.00604507,0.177941,1.62982,0.38107,1.64168,0.0311513,1.0778,0.0474303,0.531293,1.28767
107.050666667,0,3.09235,0.00322216,0.160388,1.16774,0.42114,2.27101,0.0793171,0.564445,0.0188812,1.25375,1.17545
107.093333333,0,3.13586,0,0.17708,0.885073,0.324707,2.83694,0.0748227,0.36188,0.0888824,1.5951,0.852235
107.136000000,0,3.12805,0,0.0863603,0.97494,0.231321,3.04968,0.0673082,0.349394,0,1.78292,0.649416
107.178666667,0,3.06528,0,0.0178832,0.999964,0.166076,2.88405,0.0732657,0.202353,0.00698569,2.00528,0.502005
107.221333333,0,2.6598,0.132611,0.035899,0.574158,0.348475,3.01416,0.094185,0.0825393,0.320029,1.87504,0.206603
107.264000000,0,2.40878,0.476754,0.0109225,0.451649,0.395859,3.15597,0.0637648,0.245191,0.386644,1.59459,0.0852118
107.306666667,0,2.27212,0.432188,0.00463123,0.583768,0.405576,2.56043,0.0817006,0.225394,0.416386,1.54749,0.050191
107.349333333,0,2.02413,0.156373,0,0.436756,0.637847,1.94261,0.0728181,0.0947782,0.457814,1.6959,0.340629
107.392000000,0,2.32363,0,0,0.28958,0.480763,2.13795,0.0803893,0.0670908,0.292318,1.73886,0.000180196
107.434666667,0,2.26837,0.0227693,0.138251,0.143518,0.435893,2.45324,0.140192,0.0486423,0.0523298,1.60248,0.00037156
107.477333333,0.00658049,1.89332,0.209312,0.118151,0.0363775,0.262551,2.68621,0.0767127,0.0584953,0.098235,1.28285,0.344828
107.520000000,0.0169727,2.03976,0.263622,0.0739325,0.0137894,0.300117,2.81361,0.0592962,0.0304501,0.227331,1.18235,0.519492
107.562666667,0.0395697,2.31572,0.287019,0.0365527,0.00115326,0.468679,2.9377,0.0592896,0,0.311607,1.32948,0.388795
107.605333333,0.0644007,2.54093,0.242171,0.0130978,0,0.450677,3.14796,0.114753,0,0.265659,1.67652,0.172204
107.648000000,0.0667069,2.81503,0.125843,0.00596029,0.0165886,0.242416,3.10006,0.189085,0.0108727,0.1358,2.14751,0.0815056
107.690666667,0,2.9468,0.018717,0.00307737,0.0284368,0.185752,3.13333,0.394172,0.206357,0.113198,1.96967,0
107.733333333,0.0334708,2.86737,0.0155155,0,0.0250273,0.361523,3.52729,0.225977,0.0640814,0.000358953,1.53531,0
107.776000000,0.043511,2.5981,0.000758062,0,0.00766926,0.309927,3.83643,0.146636,0.000972955,0,1.36015,0
107.818666667,0.0415435,2.55447,0,0,0,0.207149,3.93089,0.100389,0,0,1.28851,0.00310234
107.861333333,0.0162779,2.67995,0,0,0.00879692,0.120988,3.81534,0.226254,0.00503063,0,1.33082,0.000343382
