TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
210.112000000,-318.608,16.8192,34.6798,27.0684,-4.73567,10.022,-6.2333,4.85956,-2.30397,-0.926549,-3.52808,8.18521,1.27098,5.74684,0.24954,0.311129,0.0380055,0.166738,0.588577,3.2663,0.378785
210.133333333,-320.547,19.5803,33.2902,26.0374,-2.54538,8.21276,-8.91536,6.13793,-1.30111,-0.110311,-4.70281,8.9852,-0.286196,4.62671,-1.36654,0.197644,-1.05298,3.08984,1.66739,4.04912,-0.32689
210.154666667,-327.565,22.9302,34.0147,25.8681,-4.30676,9.18023,-9.4894,5.98051,-2.21,-0.723427,-2.28896,6.56367,-1.69902,4.07949,-1.08291,-0.0407831,2.10017,3.45324,0.481155,2.1934,0.256085
210.176000000,-258.79,-8.41755,30.4112,19.669,-8.09019,11.8249,-0.115887,-0.377264,-3.83811,-0.716714,-3.89543,1.87566,3.07922,6.80541,-0.299808,-1.28449,-1.30315,2.16962,2.01137,2.79247,0.369728
210.197333333,-277.174,-6.97078,33.0685,30.8408,-8.14386,6.42694,-7.03224,1.04106,-1.88969,0.293194,-3.78082,3.89951,-2.2143,4.97725,-0.111555,-0.946315,0.23547,1.41802,1.06551,2.6239,-1.05893
210.218666667,-287.098,0.321433,33.5452,27.6041,-12.0626,9.73534,-7.29989,2.09963,-2.34096,0.435949,-5.967,5.34435,-0.895082,5.63735,-1.3435,-1.97666,0.256667,-0.572509,0.403629,2.41178,-1.0085
210.240000000,-292.059,-0.432184,40.8358,26.331,-12.7209,6.46003,-5.08108,0.415925,-0.218924,-1.89809,-3.40836,4.99008,1.12241,4.48514,-2.99368,-3.78057,1.67383,3.78706,0.894597,-1.10882,0.36076
210.261333333,-298.012,1.85217,41.0676,26.9678,-13.4467,6.41198,-6.25821,1.36215,-0.0956622,-2.52795,-3.30853,6.11511,0.558764,3.65865,-0.51172,-2.43137,-0.950204,2.07254,3.35307,1.69794,-1.36737
210.282666667,-310.053,8.89637,43.0768,23.5946,-13.6581,9.12286,-5.59044,0.173617,-3.44364,-0.339644,-3.01049,4.45901,0.482337,4.78636,-0.441757,-2.49567,-1.51946,1.6898,1.32184,2.64525,0.296516
210.304000000,-309.858,6.52887,42.4992,27.345,-10.9147,4.66605,-4.19865,0.505692,-2.00773,-1.96653,-3.32847,3.85204,2.39084,3.89558,-2.35116,-2.34747,-0.715792,1.49277,2.78027,1.47859,-0.373749
210.325333333,-318.826,16.4624,38.1688,30.283,-14.5734,8.73183,-7.95521,4.52757,-7.02546,1.19188,-4.13626,8.70437,-1.82391,2.70956,-3.71575,0.400534,0.417429,0.203236,2.67991,2.68602,-0.339114
210.346666667,-321.991,19.4554,37.6818,26.5396,-14.2157,9.00478,-7.34219,4.53295,-4.47379,2.14515,-4.37639,4.82416,-1.2427,3.97606,-0.975018,-2.10102,-0.269603,2.42226,1.53206,1.92919,-1.40842
210.368000000,-326.432,20.4716,40.5387,23.2376,-12.4365,9.7044,-6.49854,3.83647,-2.63792,-0.0271065,-6.05361,5.19934,-0.856429,6.61091,-2.6195,-2.09376,-1.83812,2.62451,1.25704,2.47852,-0.265213
210.389333333,-331.069,20.7163,38.5569,23.6627,-9.0093,9.56925,-5.14584,2.43478,-4.37307,-2.22094,-2.84018,7.24258,1.20945,3.9947,-1.78629,-3.6354,-1.69048,3.423,2.26618,0.775654,-1.85479
210.410666667,-223.705,22.93,-2.87586,-0.652844,1.47044,8.72852,-3.18744,-1.25275,4.6652,0.455507,-2.31872,0.877824,-0.786255,3.9081,1.41954,-4.01266,-0.0573378,0.620008,-1.21669,-2.68435,0.655834
210.432000000,-225.468,6.19503,10.5062,15.472,-2.62105,11.3786,-0.898103,11.1722,4.32153,5.85002,0.335719,7.93641,-1.00393,5.04525,-1.19317,3.15611,2.41238,3.25851,0.641351,1.36466,-3.34911
210.453333333,-235.225,15.2004,4.25928,12.833,-5.45201,17.6894,-2.38078,11.7732,2.07988,6.755,-1.75091,8.242,-4.31913,4.94768,0.21343,6.41457,4.73055,2.09848,-1.86809,1.70031,0.169407
210.474666667,-263.103,12.4055,14.9964,18.7237,-6.04547,19.3876,-4.1805,7.22516,-0.926665,7.17114,-2.30442,7.47478,-3.44286,8.32642,0.40647,2.52191,3.08642,3.28048,-0.850081,2.48995,-3.37728
210.496000000,-272.51,13.8332,23.1685,17.0399,-8.84167,21.169,-5.88147,4.18307,-0.468911,6.05423,-3.05751,8.68308,-0.211604,6.80239,-4.23832,1.08285,1.50908,6.3011,-0.296943,2.66166,-1.75299
